Taxon_name	Status	MinAge	MaxAge	Site
Sus_sondaari	extinct	4.4	10.32	Capo Figari 
Rhagapodemus_minor	extinct	5.784	8.676	Capo Figari 
Prolagus_figaro	extinct	5.784	8.676	Capo Figari 
Tyrrhenoglis_figariensis	extinct	5.784	8.676	Capo Figari 
Asoriculus_sp_CF	extinct	5.784	8.676	Capo Figari 
Praemegaceros_sardus	extinct	1.18224	1.760136	Capo Figari 
Cynotherium_sp_large_size	extinct	1.18224	1.760136	Capo Figari 
Microtus_(Tyrrhenicola)_henseli	extinct	1.18224	1.760136	Capo Figari 
Prolagus_sardus	extinct	1.18224	1.760136	Capo Figari 
Rhagamys_orthodon	extinct	1.18224	1.760136	Capo Figari 
Tyrrhenoglis_figariensis	extinct	1.18224	1.760136	Capo Figari 
Nesogoral_aff_N_melonii	extinct	1.18224	1.760136	Capo Figari 
Tyrrhenoglis_majori	extinct	4.4	10.32	Capo Figari 
Talpa_tyrrhenica	extinct	1.18224	1.760136	Capo Figari 
Praemegaceros_sardus	extinct	1.44	2.16	Santa Lucia
Microtus_(Tyrrhenicola)_henseli	extinct	1.44	2.16	Santa Lucia
Rhagamys_orthodon	extinct	1.44	2.16	Santa Lucia
Prolagus_sardus	extinct	1.44	2.16	Santa Lucia
Asoriculus_similis	extinct	1.44	2.16	Santa Lucia
Talpa_tyrrhenica	extinct	1.44	2.16	Cava Alabastro
Asoriculus_similis	extinct	1.44	2.16	Cava Alabastro
Rhagamys_orthodon	extinct	1.44	2.16	Cava Alabastro
Prolagus_sardus	extinct	1.44	2.16	Cava Alabastro
Microtus_(Tyrrhenicola)_henseli	extinct	1.44	2.16	Cava Alabastro
Macaca_majori	extinct	3.096	10.32	Cava Alabastro
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	0.516	Cava Grande
Cynotherium_sardous	extinct	0.0468	0.516	Cava Grande
Prolagus_sardus	extinct	0.0468	0.516	Cava Grande
Praemegaceros_cazioti	extinct	0.0468	0.516	Cava Grande
Asoriculus_similis	extinct	0.0468	0.516	Cava Grande
Rhagamys_orthodon	extinct	0.0468	0.516	Cava Grande
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	0.516	Buggerru
Praemegaceros_cazioti	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Cynotherium_sardous	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Talpa_tyrrhenica	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Asoriculus_similis	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Microtus_(Tyrrhenicola)_henseli	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Rhagamys_orthodon	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Prolagus_sardus	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Algarolutra_majori	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Enhydrictis_galictoides	extinct	0.076	0.106	Dragonara cave/Grotta della Medusa
Myotis_myotis	extant	0.076	0.106	Dragonara cave/Grotta della Medusa
Rhagamys_orthodon	extinct	0.02	3.2	Punta del Quadro
Microtus_(Tyrrhenicola)_henseli	extinct	0.02	3.2	Punta del Quadro
Prolagus_sardus	extinct	0.02	3.2	Punta del Quadro
Praemegaceros_cazioti	extinct	0.0468	0.492	Punta del Quadro
Cynotherium_sardous	extinct	0.0468	0.492	Punta del Quadro
Sardolutra_ichnusae	extinct	0.033104	0.516	Nettuno Cave
Praemegaceros_cazioti	extinct	0.04644	0.492	Cervi Cave
Cynotherium_sardous	extinct	0.04644	0.492	Cervi Cave
Rhagamys_orthodon	extinct	0.04644	0.492	Cervi Cave
Microtus_(Tyrrhenicola)_henseli	extinct	0.04644	0.492	Cervi Cave
Praemegaceros_cazioti	extinct	0.03012	0.0306	Juntu Cave
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	3.096	Siniscola
Megalenhydris_barbaricina	extinct	0.0468	0.516	Grotta di Ispinigoli
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	3.096	Monte San Giovanni
Enhydrictis_galictoides	extinct	0.0468	3.096	Monte San Giovanni
Talpa_tyrrhenica	extinct	0.0468	3.096	Monte San Giovanni
Rhagamys_orthodon	extinct	0.0468	3.096	Monte San Giovanni
Asoriculus_similis	extinct	0.0468	3.096	Monte San Giovanni
Prolagus_sardus	extinct	0.0468	3.096	Monte San Giovanni
Cynotherium_sardous	extinct	0.0468	3.096	Monreale di Bonaria
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	3.096	Monreale di Bonaria
Prolagus_sardus	extinct	0.0468	3.096	Monreale di Bonaria
Asoriculus_similis	extinct	0.0468	3.096	Monreale di Bonaria
Praemegaceros_cazioti	extinct	0.0468	3.096	Monreale di Bonaria
Rhagamys_orthodon	extinct	0.0468	3.096	Monreale di Bonaria
Prolagus_sardus	extinct	0.0468	0.516	Cave between Punta Padrebellu and Omo Morto
Rhagamys_orthodon	extinct	0.0468	0.516	Cave between Punta Padrebellu and Omo Morto
