Species	Status
Mustela_nivalis	extant
Mustela_nudipes	extant
Mustela_sp_Pianosa	extinct
Mustelercta_arzilla	extinct
Mustelidae_gen_et_sp_indet_FS	extinct
Muva_sinhaleya	extinct
Mydaus_marchei	extant
Myodes_andersoni	extant
Myodes_japonicus	extinct
Myodes_rufocanus	extant
Myodes_smiThii	extant
Myoictis_melas	extant
Myoictis_sp_New_Guinea	extinct
Myoictis_wallacei	extant
Myopus_schisticolor	extant
Myotis_austroriparius	extant
Myotis_bechsteinii	extant
Myotis_beppuensis	extinct
Myotis_blyThii	extant
Myotis_capaccinii	extant
Myotis_emarginatus	extant
Myotis_escalerai	extant
Myotis_goudoti	extant
Myotis_macrodactylus	extant
Myotis_macrotarsus	extant
Myotis_myotis	extant
Myotis_mystacinus	extant
Myotis_okafujii	extinct
Myotis_sp_Ishigaki	extinct
Myotragus_balearicus	extinct
Mysateles_melanurus	extant
Mysateles_prehensilis	extant
Mystacina_miocenalis	extinct
Mystacina_robusta	extinct
Mystacina_tuberculata	extant
Mystacinidae_gen_et_sp_indet_1_SouTh_Island	extinct
Mystacinidae_gen_et_sp_indet_2_SouTh_Island	extinct
Mystemys_giganteus	extinct
Nasalis_larvatus	extant
Natalus_jamaicensis	extant
Natalus_major	extant
Natalus_primus	extant
Natalus_stramineus	extant
Neocnus_comes	extinct
Neocnus_dousman	extinct
Neocnus_gliriformis	extinct
Neocnus_nov_sp_Hispaniola	extinct
Neocnus_toupiti	extinct
Neocricetodon_sp_Gargano	extinct
Neofelis_diardi	extant
Neophascogale_lorentzii	extant
Neotragini_gen_et_sp_indet_FS	extinct
Nesiotites_hidalgo	extinct
Nesogoral_aff_N_melonii	extinct
Nesogoral_cenisae	extinct
Nesogoral_melonii	extinct
Nesogoral_sp_1_aff_N_melonii	extinct
Nesogoral_sp_2	extinct
Nesomys_narindaensis	extinct
Nesomys_rufus	extant
Nesophontes_edithae	extinct
Nesophontes_hemicingulus	extinct
Nesophontes_hypomicrus	extinct
Nesophontes_major	extinct
Nesophontes_micrus	extinct
Nesophontes_minor	extinct
Nesophontes_paramicrus	extinct
Nesophontes_zamicrus	extinct
Nesorhinus_hayasakai	extinct
Nesorhinus_philippinensis	extinct
Nesoryzomys_darwini	extinct
Nesoryzomys_indefessus_indefessus	extinct
Nesoryzomys_nov_sp_1	extinct
Nesoryzomys_nov_sp_2	extinct
Nesoryzomys_nov_sp_3	extinct
Niviventer_nov_sp_Ryukyu	extinct
Niviventer_sp_Taiwan	extinct
Noctilio_leporinus	extant
Noronhomys_vespuccii	extinct
Notopteris_macdonaldi	extant
Notopteris_neocaledonica	extant
Nototherium_watutense	extinct
Nuragha_schreuderae	extinct
Nuralagus_rex	extinct
Nyctalus_aviator	extant
Nyctalus_lasiopterus	extant
Nyctereutes_procyonoides	extant
Nyctereutes_viverrinus	extant
Nycteris_tragata	extant
Nycticebus_coucang	extant
Nycticebus_javanicus	extant
Nyctiellus_lepidus	extant
Nyctimene_albiventer	extant
Nyctimene_cephalotes	extant
Nyctimene_major	extant
Nyctinomops_macrotis	extant
Nyctophilus_howensis	extinct
Nyctophilus_nebulosus	extant
Oligoryzomys_sp_Aruba	extinct
Oreopithecus_bambolii	extinct
Oriensictis_nipponica	extinct
Oryctolagus_cuniculus	extant
Oryzomyini_gen_et_sp_indet_Barbados	extinct
Oryzomyini_gen_et_sp_indet_Grenada	extinct
Oryzomyini_undescribed_species_(Anguilla_taxon)	extinct
Oryzomyini_undescribed_species_(large_Montserrat_taxon)	extinct
Oryzomyini_undescribed_species_(Saba)	extinct
Oryzomyini_undescribed_species_(small_Montserrat_taxon)	extinct
Oryzomyini_undescribed_species_(St_Martin_taxon)	extinct
Oryzomys_antillarum	extinct
Oryzomys_gorgasi	extinct
Otomops_madagascariensis	extant
Pachycrocuta_brevirostris	extinct
Pachylemur_insignis	extinct
Pachylemur_jullyi	extinct
Paguma_larvata	extant
Palaeoloxodon_aff_P_creutzburgi	extinct
Palaeoloxodon_aff_P_falconeri	extinct
Palaeoloxodon_antiquus	extinct
Palaeoloxodon_antiquus_leonardi	extinct
Palaeoloxodon_creutzburgi	extinct
Palaeoloxodon_cypriotes	extinct
Palaeoloxodon_ex_gr_P_falconeri	extinct
Palaeoloxodon_ex_gr_P_mnaidriensis	extinct
Palaeoloxodon_falconeri	extinct
Palaeoloxodon_huaihoensis	extinct
Palaeoloxodon_lomolinoi	extinct
Palaeoloxodon_namadicus	extinct
Palaeoloxodon_naumanni	extinct
Palaeoloxodon_sp_1_Luparello	extinct
Palaeoloxodon_sp_Astypalaea	extinct
Palaeoloxodon_sp_Delos	extinct
Palaeoloxodon_sp_incertae_sedis_1_Favignana	extinct
Palaeoloxodon_sp_incertae_sedis_2	extinct
Palaeoloxodon_sp_Rhodes	extinct
Palaeoloxodon_tiliensis	extinct
Palaeoloxodon_xylophagou	extinct
Palaeopropithecus_ingens	extinct
Palaeopropithecus_kelyus	extinct
Palaeopropithecus_keylus	extinct
Palaeopropithecus_maximus	extinct
Paludolutra_campanii	extinct
Paludotona_etruria	extinct
Paludotona_minor	extinct
Pannonictis_baroniensis	extinct
Panthera_leo_sinhaleyus	extinct
Panthera_leo_spelaea	extinct
Panthera_pardus	extant
Panthera_sp_Taiwan	extinct
Panthera_tigris	extant
Panthera_tigris_FOSSIL	extant
Papagomys_armandvillei	extant
Papagomys_nov_sp_Flores	extinct
Papagomys_theodorverhoeveni	extinct
Paradoxurus_hermaphroditus	extant
Paradoxurus_philippinensis	extant
Paradoxurus_zeylonensis	extant
Paraethomys_balearicus	extinct
Parahydromys_asper	extant
Parailurus_sp_Hondo	extinct
Paralouatta_marianae	extinct
Paralouatta_varonai	extinct
Paralutra_garganensis	extinct
Paramelomys_naso	extant
Paramelomys_platyops	extant
Parapodemus_sp_1	extinct
Parapodemus_sp_2	extinct
