series,order,family,genus,genus.species
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_monticola
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_mazama
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_bulbivorus
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_atrovarius
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_sheldoni
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_nayarensis
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_bottae
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_umbrinus
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_clusius
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_idahoensis
Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys_townsendii
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_pinetis
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_breviceps
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_tropicalis
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_personatus
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_streckeri
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_attwateri
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_bursarius
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_texensis
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_knoxjonesi
Mammalia,Rodentia,Geomyidae,Geomys,Geomys_arenarius
Mammalia,Rodentia,Geomyidae,Zygogeomys,Zygogeomys_trichopus
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_grandis
Mammalia,Rodentia,Geomyidae,Pappogeomys,Pappogeomys_bulleri
Mammalia,Rodentia,Geomyidae,Pappogeomys,Pappogeomys_alcorni
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_underwoodi
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_heterodus
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_matagalpae
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_cherriei
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_cavator
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_dariensis
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_thaeleri
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_cuniculus
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_hispidus
Mammalia,Rodentia,Geomyidae,Orthogeomys,Orthogeomys_lanius
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_planiceps
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_fumosus
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_perotensis
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_merriami
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_fulvescens
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_goldmani
Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys_castanops
Mammalia,Rodentia,Heteromyidae,Liomys,Liomys_salvini
Mammalia,Rodentia,Heteromyidae,Liomys,Liomys_adspersus
Mammalia,Rodentia,Heteromyidae,Liomys,Liomys_irroratus
Mammalia,Rodentia,Heteromyidae,Liomys,Liomys_spectabilis
Mammalia,Rodentia,Heteromyidae,Liomys,Liomys_pictus
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_nelsoni
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_australis
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_anomalus
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_oasicus
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_oresterus
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_teleus
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_nubicolens
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_catopterius
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_desmarestianus
Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_gaumeri
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_fasciatus
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_flavus
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_merriami
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_flavescens
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_longimembris
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_inornatus
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_amplus
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_parvus
Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus_alticolus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_nelsoni
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_artus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_goldmani
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_intermedius
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_lineatus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_eremicus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_penicillatus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_spinatus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_pernix
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_fallax
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_dalquesti
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_arenarius
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_californicus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_hispidus
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_rudinoris
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_baileyi
Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus_formosus
Mammalia,Rodentia,Castoridae,Castor,Castor_fiber
Mammalia,Rodentia,Castoridae,Castor,Castor_canadensis
Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes_surdaster
Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes_capensis
Mammalia,Rodentia,Anomaluridae,Idiurus,Idiurus_zenkeri
Mammalia,Rodentia,Anomaluridae,Idiurus,Idiurus_macrotis
Mammalia,Rodentia,Anomaluridae,Anomalurus,Anomalurus_derbianus
Mammalia,Rodentia,Anomaluridae,Anomalurus,Anomalurus_beecrofti
Mammalia,Rodentia,Anomaluridae,Anomalurus,Anomalurus_pelii
Mammalia,Rodentia,Anomaluridae,Anomalurus,Anomalurus_pusillus
Mammalia,Rodentia,Anomaluridae,Zenkerella,Zenkerella_insignis
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_erythrotis
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_gloveri
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_forresti
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_pusilla
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_koslowi
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_rutila
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_ladacensis
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_roylei
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_macrotis
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_iliensis
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_rufescens
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_thibetana
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_nubrica
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_curzoniae
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_dauurica
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_cansus
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_thomasi
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_syrinx
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_argentata
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_coreana
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_pallasi
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_hyperborea
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_mantchurica
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_hoffmanni
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_turuchanensis
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_alpina
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_collaris
Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona_princeps
Mammalia,Lagomorpha,Leporidae,Pronolagus,Pronolagus_randensis
Mammalia,Lagomorpha,Leporidae,Pronolagus,Pronolagus_rupestris
Mammalia,Lagomorpha,Leporidae,Pronolagus,Pronolagus_saundersiae
Mammalia,Lagomorpha,Leporidae,Pronolagus,Pronolagus_crassicaudatus
Mammalia,Lagomorpha,Leporidae,Nesolagus,Nesolagus_netscheri
Mammalia,Lagomorpha,Leporidae,Nesolagus,Nesolagus_timminsi
Mammalia,Lagomorpha,Leporidae,Romerolagus,Romerolagus_diazi
Mammalia,Lagomorpha,Leporidae,Poelagus,Poelagus_marjorita
Mammalia,Lagomorpha,Prolagidae,Prolagus,Prolagus_sardus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_dicei
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_cognatus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_brasiliensis
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_cunicularius
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_graysoni
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_robustus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_floridanus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_transitionalis
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_obscurus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_nuttallii
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_insonus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_varynaensis
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_audubonii
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_aquaticus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_bachmani
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_mansuetus
Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus_palustris
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_starcki
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_tibetanus
Mammalia,Lagomorpha,Leporidae,Pentalagus,Pentalagus_furnessi
Mammalia,Lagomorpha,Leporidae,Bunolagus,Bunolagus_monticularis
Mammalia,Lagomorpha,Leporidae,Caprolagus,Caprolagus_hispidus
Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus_cuniculus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_brachyurus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_americanus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_corsicanus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_castroviejoi
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_tolai
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_coreanus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_timidus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_arcticus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_othus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_townsendii
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_microtis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_capensis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_yarkandensis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_sinensis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_mandshuricus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_hainanus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_peguensis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_europaeus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_granatensis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_nigricollis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_comus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_oiostolus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_saxatilis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_fagani
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_flavigularis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_alleni
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_californicus
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_insularis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_callotis
Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_habessinicus
Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus_idahoensis
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_novemcinctus
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_pilosus
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_sabanicola
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_septemcinctus
